date,gdp,repo,cpi,inflation
2004/03/31,1571580,8,51.1689438299718,-2.05565203343963
2004/06/30,1640953,8,51.4474487196945,-2.02507232401157
2004/09/30,1674699,7.66666666666667,51.5677121948021,-1.00850546780066
2004/12/31,1731000,7.5,51.8483269700531,1.62524295934825
2005/03/31,1768828,7.5,52.1795789979809,1.9750948375391
2005/06/30,1803783,7,52.4559740021754,1.96030183727036
2005/09/30,1873743,7,52.8125446564417,2.4139765148725
2005/12/31,1918423,7,52.9391377881339,2.10384959713521
2006/03/31,1960150,7,53.2429613041951,2.03792810642518
2006/06/30,2048534,7.16666666666667,53.7535536020201,2.47365457324433
2006/09/30,2120013,7.83333333333333,54.772628312142,3.71139786664534
2006/12/31,2231030,8.66666666666667,55.3275282060593,4.51157785660192
2007/03/31,2270667,9,55.9520543224073,5.08817119080636
2007/06/30,2350848,9.16666666666667,56.9458104061908,5.93868979864187
2007/09/30,2415988,9.83333333333333,58.1547748138509,6.17488443759628
2007/12/31,2462412,10.6666666666667,59.2645746016855,7.11589063036266
2008/03/31,2569803,11,60.9666666666667,8.96233821079049
2008/06/30,2633146,11.6666666666667,62.6333333333333,9.98760556145191
2008/09/30,2723120,12,64.6,11.0828821997502
2008/12/31,2673514,11.8333333333333,65.0333333333333,9.73390726318271
2009/03/31,2742517,10.5,66.0666666666667,8.36522689994535
2009/06/30,2732647,8.16666666666667,67.4666666666667,7.71687067589146
2009/09/30,2805594,7.16666666666667,68.7,6.34674922600618
2009/12/31,2853911,7,69.0333333333333,6.1506919528447
2010/03/31,2936248,6.83333333333333,69.8,5.65085771947527
2010/06/30,3010051,6.5,70.5333333333333,4.54545454545452
2010/09/30,3053147,6.33333333333333,71.1,3.49344978165937
2010/12/31,3081135,5.66666666666667,71.4,3.42829550941572
2011/03/31,3183146,5.5,72.4666666666667,3.82043935052529
2011/06/30,3251316,5.5,73.8,4.63137996219281
2011/09/30,3332826,5.5,74.9333333333333,5.39146741678389
2011/12/31,3439765,5.5,75.7333333333333,6.06909430438845
2012/03/31,3496429,5.5,76.8666666666667,6.07175712971482
2012/06/30,3586703,5.5,78,5.6910569105691
2012/09/30,3654887,5,78.7666666666667,5.11565836298933
2012/12/31,3713590,5,80,5.6338028169014
2013/03/31,3816539,5,81.2666666666667,5.72419774501303
2013/06/30,3933621,5,82.4333333333333,5.68376068376069
2013/09/30,4019173,5,83.6666666666667,6.22090562843842
2013/12/31,4032701,5,84.3333333333333,5.41666666666667
2014/03/31,4131770,5.5,86.1,5.94749794913865
2014/06/30,4178484,5.5,87.7666666666667,6.46987464617872
2014/09/30,4223502,5.75,88.9,6.25498007968126
2014/12/31,4249493,5.75,89.1333333333333,5.69169960474307
2015/03/31,4379257,5.75,89.6666666666667,4.14246999612853
2015/06/30,4406735,5.75,91.7666666666667,4.55753892897834
2015/09/30,4507153,6,93.1,4.72440944881889
2015/12/31,4619801,6.16666666666667,93.4666666666667,4.86163051608077
2016/03/31,4669898,6.83333333333333,95.5,6.50557620817844
2016/06/30,4696714,7,97.5,6.24772974936434
2016/09/30,4782790,7,98.7,6.01503759398498
2016/12/31,4802969,7,99.6333333333333,6.59771754636234
2017/03/31,4904189,7,101.533333333333,6.31762652705061
2017/06/30,4982650,7,102.666666666667,5.2991452991453
2017/09/30,5046112,6.75,103.433333333333,4.79567713610267
2017/12/31,5147385,6.75,104.333333333333,4.71729675476749
2018/03/31,5193577,6.66666666666667,105.666666666667,4.07091267235717
2018/06/30,5260954,6.5,107.266666666667,4.48051948051946
2018/09/30,5422836,6.5,108.6,4.99516596841767
2018/12/31,5452557,6.66666666666667,109.466666666667,4.92012779552715
2019/03/31,5415607,6.75,110.1,4.19558359621453
2019/06/30,5603717,6.75,112.033333333333,4.44375388440028
2019/09/30,5641263,6.5,113.1,4.14364640883975
2019/12/31,5639799,6.5,113.566666666667,3.74543239951279
2020/03/31,5571896,5.91666666666667,114.966666666667,4.42022403875264
2020/06/30,4766334,3.91666666666667,114.733333333333,2.40999702469504
2020/09/30,5204962,3.5,116.6,3.09460654288243
2020/12/31,5562956,3.5,117.166666666667,3.16994423246257
2021/03/31,5634112,3.5,118.5,3.07335459553495
2021/06/30,5632802,3.5,120.266666666667,4.82277745496802
2021/09/30,5819983,3.5,122.233333333333,4.83133218982275
